id/bioguide,id/thomas,id/govtrack,social/twitter,social/facebook,social/youtube_id,social/twitter_id,social/youtube,social/instagram,social/instagram_id
C001120,,,RepDanCrenshaw,,,1.08089E+18,,,
C001121,,,RepJasonCrow,,,1.08019E+18,,,
C001124,,,RepTjCox,,,1.08088E+18,,,
D000629,,,RepDavids,,,1.08052E+18,,,
B001310,,,SenatorBraun,,,1.08087E+18,,,
E000299,,,RepEscobar,,,1.07552E+18,,,
F000468,,,RepFletcher,,,1.0759E+18,,,
F000469,,,RepRussFulcher,,,1.07874E+18,,,
G000587,,,RepSylviaGarcia,,,1.08059E+18,,,
G000590,,,RepMarkGreen,,,1.08048E+18,,,
G000592,,,repgolden,,,1.08089E+18,,,
H001085,,,RepHoulahan,,,1.0529E+18,,,
H001090,,,RepJoshHarder,,,1.08085E+18,,,
J000301,,,RepDustyJohnson,,,1.07478E+18,,,
L000590,,,RepSusieLee,,,1.07906E+18,,,
L000592,,,RepAndyLevin,,,1.08028E+18,,,
M001204,,,RepMeuser,,,1.08057E+18,,,
M001209,,,RepBenMcAdams,,,196362083,,,
P000616,,,RepDeanPhillips,,,1.06131E+18,,,
P000617,,,RepPressley,,,1.08058E+18,,,
R000611,,,RepRiggleman,,,1.0805E+18,,,
R000613,,,RepMaxRose,,,1.07869E+18,,,
S001206,,,RepShalala,,,1.06058E+18,,,
S001207,,,RepSherrill,,,1.08057E+18,,,
S001208,,,RepSlotkin,,,1.0784E+18,,,
S001211,,,RepGregStanton,,,1.08089E+18,,,
S001215,,,RepHaleyStevens,,,1.07616E+18,,,
S001216,,,RepKimSchrier,,,1.08046E+18,,,
T000479,,,RepVanTaylor,,,1.07504E+18,,,
T000480,,,RepTimmons,,,1.07977E+18,,,
T000481,,,RepRashida,,,1.07977E+18,,,
T000482,,,RepLoriTrahan,,,1.0798E+18,,,
T000483,,,repdavidtrone,,,1.08057E+18,,,
T000484,,,RepTorresSmall,,,1.08083E+18,,,
U000040,,,RepUnderwood,,,1.08054E+18,,,
W000825,,,RepWexton,,,1.01782E+18,,,
W000827,,,RepRonWright,,,1.08085E+18,,,
K000368,,,RepKirkpatrick,,,1.08124E+18,,,
H001081,,,RepJahanaHayes,,,1.08209E+18,,,
F000467,,,RepFinkenauer,,,1.08126E+18,,,
D000631,,,RepDean,,,567508925,,,
C001123,,,RepGilCisneros,,,1.08099E+18,,,
B001308,,,RepBrindisi,,,1.08098E+18,,,
P000614,,,RepChrisPappas,,,1.06775E+18,,,
P000618,,,RepKatiePorter,,,1.08122E+18,,,
R000612,,,RepJohnRose,,,1.08131E+18,,,
S001205,,,RepMGS,,,1.06754E+18,,,
O000172,,,RepAOC,,,1.0791E+18,,,
M001207,,,RepDMP,,,1.08094E+18,,,
J000302,,,RepJohnJoyce,,,1.08231E+18,,,
G000591,,,RepMichaelGuest,,,1.08124E+18,,,
C001117,,,RepCasten,,,1.08347E+18,,,
H001083,,,RepKendraHorn,,,1.08302E+18,,,
M001203,,,RepMalinowski,,,1.0809E+18,,,
M001205,,,RepCarolMiller,,,1.08132E+18,,,
M001208,,,replucymcbath,,,1.08238E+18,,,
P000615,,,RepGregPence,,,1.08237E+18,,,
R000614,,,RepChipRoy,,,1.08279E+18,,,
S001214,,,RepGregSteube,,,1.08313E+18,,,
W000823,,,RepMichaelWaltz,,,1.08242E+18,,,
G000586,,,RepChuyGarcia,,,1.08243E+18,,,
H001088,,,RepHagedorn,,,1.08347E+18,,,
K000394,,,RepAndyKimNJ,,,1.07877E+18,,,
B001307,,,RepJimBaird,,,1.08632E+18,,,
G000588,,,RepAGonzalez,,,1.05438E+18,,,
G000589,,,RepLanceGooden,,,412595957,,,
R000610,,,GReschenthaler,,,4205133682,,,
S001210,,,RepRossSpano,,,1.09033E+18,,,
W000824,,,Rep_Watkins,,,1.08031E+18,,,
O000173,,,Ilhan,,,1.08233E+18,,,
C001055,,,RepEdCase,,,1.08135E+18,,,
H001089,,,SenHawleyPress,,,1.08096E+18,,,
V000133,,,CongressmanJVD,,,1.08347E+18,,,
K000395,,412843,RepFredKeller,CongressmanFredKeller,UC_IluBx9m7HWoNhEYSoPQNQ,1.13606E+18,,repfredkeller,
S001204,,412770,GuamCongressman,CongressmanMichaelF.Q.SanNicolas,UCVroMJWH3jsh4shPSlp24sw,346509049,,michael.fq.san.nicolas,
L000594,,456790,SenatorLoeffler,SenLoeffler,,1.20045E+18,,,
B001311,,412844,RepDanBishop,repdanbishop,,1.17652E+18,,,
G000061,,456792,repmikegarcia,RepMikeGarcia,,1.26253E+18,,,
M000687,,407672,RepKweisiMfume,RepKweisiMfume,,1.27621E+18,,,
M001210,,412845,RepGregMurphy,RepGregMurphy,,1.17398E+18,,,
